id,user_id,riddle_1,riddle_2,riddle_3,riddle_4,riddle_5,riddle_6,riddle_7,time
429,616,50,28,-1,-1,-1,99,-1,2021-05-05 16:39:47
430,602,2,3,-1,-1,-1,4,-1,2021-05-05 16:39:59
431,610,50,30,-1,-1,-1,98,-1,2021-05-05 16:40:02
432,611,50,25,-1,-1,-1,99,-1,2021-05-05 16:40:02
433,619,50,30,-1,-1,-1,100,-1,2021-05-05 16:40:04
434,618,50,30,-1,-1,-1,200,-1,2021-05-05 16:40:15
435,617,100,30,-1,-1,-1,99,-1,2021-05-05 16:40:17
436,609,1,30,-1,-1,-1,100,-1,2021-05-05 16:40:17
437,607,12.5,28,-1,-1,-1,50,-1,2021-05-05 16:40:44
438,624,1,14,-1,-1,-1,99,-1,2021-05-05 16:40:52
439,620,0.75,30,-1,-1,-1,98,-1,2021-05-05 16:40:53
440,590,0.38,30,-1,-1,-1,50,-1,2021-05-05 16:40:54
441,614,75,27,-1,-1,-1,99,-1,2021-05-05 16:40:54
442,625,0.333333,30,-1,-1,-1,1,-1,2021-05-05 16:40:57
443,613,0.875,30,-1,-1,-1,2,-1,2021-05-05 16:41:02
444,621,0.5,30,-1,-1,-1,1,-1,2021-05-05 16:41:27
445,622,1,27,-1,-1,-1,99,-1,2021-05-05 16:41:32
446,615,1.5,30,-1,-1,-1,99,-1,2021-05-05 16:41:46
447,606,50,28,-1,-1,-1,99,-1,2021-05-05 16:42:11
448,596,90,30,-1,-1,-1,99,-1,2021-05-05 16:43:11
449,628,3,15,-1,-1,-1,98,-1,2021-05-05 16:43:15
450,627,3,30,-1,-1,-1,100,-1,2021-05-05 16:43:35
451,630,0.333333,30,-1,-1,-1,99,-1,2021-05-05 16:44:18
452,626,1,30,-1,-1,-1,102,-1,2021-05-05 16:44:25
453,632,87.5,30,-1,-1,-1,50,-1,2021-05-05 16:44:36
454,633,0.5,30,-1,-1,-1,1,-1,2021-05-05 16:45:15
455,629,87.5,30,-1,-1,-1,50,-1,2021-05-05 16:45:33
456,631,0.875,28,-1,-1,-1,50,-1,2021-05-05 16:46:18
457,635,2,30,-1,-1,-1,98,-1,2021-05-05 16:48:04
458,636,0.5,30,-1,-1,-1,99,-1,2021-05-05 16:49:41
459,634,3,30,-1,-1,-1,99,-1,2021-05-05 16:50:29
460,638,2,30,-1,-1,-1,2,-1,2021-05-05 16:50:59
461,639,2,30,-1,-1,-1,98,-1,2021-05-05 16:52:00
462,637,50,30,-1,-1,-1,99.1,-1,2021-05-05 16:54:23
463,640,1,30,-1,-1,-1,980,-1,2021-05-05 17:04:43
464,641,0.333333,30,-1,-1,-1,99,-1,2021-05-05 17:05:45
